источники;Sources;来源
температурный напор на выходе из конденсатора, с;Temperature head at the outlet of the condenser,;冷凝器出口温头，
средний логарифмический температурный напор,;The average logarithmic temperature head, C;平均对数温头，C
контроль p,t,l конденсатора тр;Monitoring P, T, L of the TPP condenser;监测TPP冷凝器的P、T、L
датчик давления в ко трр;Pressure sensor in KO TPP;KO TPP 压力传感器
начальное давление, па;Initial pressure, Pa;初始压力，Pa
начальная температура, °с;Initial temperature, °;初始温度，°
определяющее свойство, по которому вычислять начальную энтальпию;The determining property by which to calculate the initial enthalpy;计算初始焓的确定属性
объём узла, м^3;The volume of the node, m ^ 3;节点的体积，m ^ 3
проходное сечение, м^2;Feedthrough cross-section, m ^ 2;馈入件横截面，m ^ 2
объёмное энерговыделение, вт/м^;Volumetric energy release, W / m ^;体积能量释放，W/m^
концентрация пассивных примесей, кг/к;Concentration of passive impurities, kg / kg;惰性杂质浓度，kg/kg
характеристика жёсткости стенок узла dv/dp, м^3/п;The stiffness of the walls of the node dV / dP, m ^ 3 / P;节点壁的刚度 dV / dP，m ^ 3 / P
объёмный источник пассивной примеси, кг/(м^3*с;Volumetric source of a passive admixture, kg / (m ^ 3 * s);被动混合物的体积源，kg / (m ^ 3 * s)
hs - графическое изображение для граничного услови;HS - Graphical image for the boundary condition;HS - 边界条件的图形图像
давление, па;Pressure, Pa;压力，帕
энтальпия, дж/кг;Enthalpy, J / kg;焓，J/kg
температура, °с;Temperature, ° С;温度，°С
определяющий параметр;The defining parameter;定义参数
определяющее свойство, по которому вычислять энтальпию;The defining property by which to calculate the enthalpy;计算焓的定义属性
полный путь объекта;Full path of the object;对象的完整路径
диаметр канала, м;Diameter of the channel, m;通道直径，m
степень раскрытия течи, %;Degree of disclosure of leak,%;泄漏泄露程度，%
противодавление, па;Counterpressure, Pa;反压，Pa
количество расчётных элементов;Number of design elements;设计元素数量
длины элементов, м;Lengths of elements, m;元件长度，m
приращение высоты, м;Height increment,;高度增量，
коэффициент интенсификации теплообмен;Coefficient of heat exchange intensification;强化换热系数
коэффициент интенсификации сопротивления;Coefficient of resistance intensification;阻力强化系数
абсолютная шероховатость, м;Absolute roughness, m;绝对粗糙度，m
тип геометрии;Geometry type;几何类型
круглая;Roun;圆
задать нач. распределение параметров;Set the beginning. distribution of parameters?;设置开始。参数分布？
характеристика жёсткости стенок канала ds/dp, м^2/п;Stiffness characteristic of channel walls dS / dP, m ^ 2 / P;通道壁刚度特性 dS / dP、m ^ 2 / P
входная связь для поперечного переток;Input connection for transverse flo;横流输入连接
выходная связь для поперечного переток;Output connection for transverse flo;横流输出连接
пучок труб с треугольной упаковко;Pipe bundle with triangular packin;三角填料管束
пучок труб с квадратной упаковко;Tubular bundle with square packin;管束方形包装
пучок труб с треуг. упаковкой с дист. "проволока по оболочке";A bundle of pipes with treug. packing with dist. "sheath wire";一束带特鲁格的管道。与 dist 一起包装。 「护套线」
пучок труб с треуг. упаковкой с дист. "проволока по проволоке";A bundle of pipes with treug. packing with dist. "wire by wir;一束带特鲁格的管道。与 dist 一起包装。 “线接线
пучок труб с квадр. упаковкой с дист. "проволока по оболочке";A bundle of pipes with a square. packing with dist. "sheath wire";一束带有正方形的管子。与 dist 一起包装。 「护套线」
пучок труб с квадр. упаковкой с дист. "проволока по проволоке";A bundle of pipes with a square. packing with dist. "wire by wire";一束带有正方形的管子。与 dist 一起包装。 “线对线”
периферийный ряд твэлов тв;Peripheral series of fuel assemblies;燃料组件周边系列
плоская щель;Flat ga;平加
поперечное обтекание гориз. пучка труб с шахматной упаковко;Transverse flow around horiz. bundle of tubes with chess packing;绕水平面的横向流动。带国际象棋包装的管束
поперечное обтекание наклонного пучка труб с коридорной упаковкой;Transverse flow around an inclined bundle of tubes with a corridor package;带廊道包的倾斜管束周围的横向流动
змеевик;coil;线圈
наружный диаметр трубы, м;Outer pipe diameter, m;管道外径，米
толщина стенки трубы, м;Pipe wall thickness, m;管壁厚度，米
материал стенки;Wall Material;墙面材料
модуль упругости первого рода материала стенки, п;Modulus of elasticity of the first kind of wall material, P;第一种墙体材料的弹性模量，P
коэффициент пуассона материала стенк;Poisson's ratio of the wall material;墙体材料的泊松比
задать нач. распред. параметров;Set the beginning. distributing. parameters?;设置开始。分发。参数？
начальная энтальпия, дж/кг;Initial enthalpy, J / kg;初始热函，J/kg
начальная температура стенки, °с;Initial wall temperature, °C;初始壁温，°C
u топливо;U Fuel;U燃料
алюминиевый сплав амг4;Aluminum alloy AMg4;铝合金AMg4
алюминиевый сплав амц;Aluminum alloy AMC;铝合金AMC
асбест;Asbestos;石棉
бетон_простой;Concrete_simple;具体_简单
дюралюминий д1;Duralumin D1;硬铝D1
дюралюминий д16;Duralumin D16;硬铝 D16
изоляция (вата стеклянная);Insulation (cotton wool);保温层（棉绒）
изоляция_006;Isolation_006;隔离_006
изоляция_012;Isolation_012;隔离_012
керамика (форфор установочный);Ceramics (forfor setting);陶瓷（镶嵌用）
кирпич_диатомитовый;Bricks_Datomite;砖块_硅藻土
кирпич_красный;Brick_Red;砖红色
кирпич_шамотный;Brick_washin;砖洗
композитный материал (стеклопластик);Composite material (fiberglass);复合材料（玻璃纤维）
латунь;Brass;黄铜
медный сплав мн95-5;Copper alloy MN95-5;铜合金MN95-5
медь м1;Copper M1;铜M1
медь;Copper;铜
нержавеющая сталь 15;Stainless Steel 15;不锈钢15
