Источники   ;   Sources   ;   来源
Частоты дискретизации, Гц   ;   Sample rates, Hz   ;   采样率，赫兹
Пульсации в полосе пропускания, дБ   ;   Pulsations in the passband, dB   ;   通带脉动，dB
Класс фильтра   ;   Filter class   ;   过滤器等级
Секции второго порядка   ;   Second-order sections   ;   二阶截面
Общие настройки блока   ;   General settings of the block   ;   块的常规设置
Способ расчёта фильтра   ;   Method of calculating the filter   ;   滤波器的计算方法
Временной шаг работы блока, с   ;   Time step of the block operation, s   ;   分块操作的时间步长，s
Выводить вектор оценки измерений   ;   Output measurement measurement vector8   ;   输出测量测量向量8
Выводить ковариационную матрицу оценки вектора состояния   ;   Derive the covariance matrix for estimating the state vector8   ;   导出用于估计状态向量的协方差矩阵8
Выводить ковариационную матрицу оценки вектора измеренийL   ;   To derive the covariance matrix for the estimation of the measurement vector   ;   导出用于估计测量向量的协方差矩阵
Способ задания матрицы Q   ;   The method for specifying the matrix Q   ;   矩阵Q的指定方法
Размерности матриц и векторов   ;   Dimensions of matrices and vectors   ;   矩阵和向量的维数
Размерность вектора состояния системы X1   ;   The dimension of the state vector of the system X   ;   系统X的状态向量的维数
Размерность вектора управляющего воздействия U   ;   The dimension of the control vector U   ;   控制向量U的维数
Размерность шума состояния w   ;   Dimension of the noise of state w   ;   状态w的噪声维数
Размерность вектора измерений Y   ;   Dimension of the measurement vector Y   ;   测量矢量 Y 的维度
Параметры процесса   ;   Process parameters   ;   工艺参数
Тип задаваемых матриц   ;   Type of matrices to be set   ;   要设置的矩阵类型
Матрица перехода вектора состояния (Nx * Nx)3   ;   The transition matrix of the state vector (Nx * Nx)>   ;   状态向量的转移矩阵(Nx * Nx)>
Матрица управляющего воздействия на вектор состояния (Nx * Nu)7   ;   The control action matrix on the state vector (Nx * Nu)   ;   状态向量上的控制动作矩阵 (Nx * Nu)
Матрица перехода вектора измерений (Ny * Nx)9   ;   The transition matrix of the measurement vector (Ny * Nx)   ;   测量向量的转移矩阵 (Ny * Nx)
Матрица управляющего воздействия на вектор измерений  (Ny * Nu)   ;   The control action matrix on the measurement vector (Ny * Nu)   ;   测量向量上的控制动作矩阵 (Ny * Nu)
